"","vehicle_make","vehicle_model","vehicle_year","vehicle_colour","vehicle_value","occurred_date","reported_date","weekday","recovered","year","theft_year"
"117","TOYT","COR",2021,"WHI",0,"1/9/2022 5:00:00 AM","1/10/2022 5:00:00 AM","Sat","Y",2022,2022
"118","FORD","MUS",2019,"ONG",20000,"11/26/2022 5:00:00 AM","11/25/2022 5:00:00 AM","Fri","Y",2022,2022
"119","TOYT","RAV",2021,"RED",0,"3/16/2023 4:00:00 AM","3/16/2023 4:00:00 AM","Wed","N",2023,2023
"120","TOYT","4RN",2021,"BLK",0,"1/24/2023 5:00:00 AM","1/24/2023 5:00:00 AM","Tue","N",2023,2023
"121","RAM","DUR",2022,"RED",0,"3/19/2023 4:00:00 AM","3/19/2023 4:00:00 AM","Sun","N",2023,2023
"122","ACUR","RDX",2019,"WHI",0,"4/2/2023 4:00:00 AM","4/2/2023 4:00:00 AM","Sun","Y",2023,2023
"123","HOND","UDY",2022,"WHI",0,"4/28/2023 4:00:00 AM","4/30/2023 4:00:00 AM","Fri","N",2023,2023
"124","CHRY","300",2005,"BLK",0,"11/23/2018 5:00:00 AM","11/23/2018 5:00:00 AM","Fri","Y",2018,2018
"125","FORD","FRE",2004,"RED",4000,"7/8/2018 4:00:00 AM","7/8/2018 4:00:00 AM","Sun","Y",2018,2018
"126","HOND","CIV",2013,"BLU",0,"10/26/2019 4:00:00 AM","10/30/2019 4:00:00 AM","Sat","Y",2019,2019
"127","TOYT","COA",2006,"GRY",0,"10/29/2019 4:00:00 AM","10/28/2019 4:00:00 AM","Mon","Y",2019,2019
"128","GMC","SAV",2011,"WHI",0,"11/22/2019 5:00:00 AM","11/22/2019 5:00:00 AM","Fri","Y",2019,2019
"129","NISS","ROG",2017,"BLU",15000,"10/17/2020 4:00:00 AM","10/17/2020 4:00:00 AM","Sat","Y",2020,2020
"130","KIA","SOR",2019,"WHI",32000,"12/19/2020 5:00:00 AM","12/19/2020 5:00:00 AM","Fri","Y",2020,2020
"131","LEXS",NA,2018,"WHI",0,"10/8/2020 4:00:00 AM","10/8/2020 4:00:00 AM","Thu","N",2020,2020
"132","JEEP","GCH",2021,"GRY",63000,"9/1/2021 4:00:00 AM","9/2/2021 4:00:00 AM","Wed","Y",2021,2021
"133","DODG","CHS",2015,"WHI",0,"9/15/2021 4:00:00 AM","11/8/2021 5:00:00 AM","Wed","Y",2021,2021
"134","FORD","ESP",2011,"SIL",0,"10/11/2021 4:00:00 AM","10/11/2021 4:00:00 AM","Sun","Y",2021,2021
"135","CADI","ESC",2007,"BLK",0,"4/28/2021 4:00:00 AM","4/28/2021 4:00:00 AM","Tue","Y",2021,2021
"136","VOLK","TIG",2019,"BLU",0,"4/18/2021 4:00:00 AM","4/18/2021 4:00:00 AM","Sun","Y",2021,2021
"137","JEEP","GCH",2020,"BLK",0,"9/2/2021 4:00:00 AM","9/2/2021 4:00:00 AM","Wed","Y",2021,2021
"138","RAM","DUR",2022,"RED",0,"10/13/2022 4:00:00 AM","10/13/2022 4:00:00 AM","Wed","N",2022,2022
